Estado,OP,IP,HOSTNAME,POTENCIA ACTUAL,SPEED ACTUAL,FRECUENCIA ACTUAL,FEETS ACTUAL,POTENCIA NUEVO,SPEED NUEVO,FRECUENCIA NUEVO,FEETS NUEVO,Técnico,Fecha Planeada Update ,Fecha Real Update ,"Estatus
Update ","Estatus 
Impresión",Observaciones
MX-CMX,COYOACAN,172.17.43.215,COYDE-P01,105,97,100,SI,105,97,100,SI,TESTA,27/08/2024,27/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.216,COYDE-P02,70,105,100,SI,70,105,100,SI,TESTA,27/08/2024,28/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.220,COYDE-P03,95,100,100,SI,95,100,100,SI,TESTA,27/08/2024,29/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.225,COYDE-P04,100,100,100,SI,100,100,100,SI,TESTA,27/08/2024,30/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.219,COYDE-P05,110,96,100,SI,110,96,100,SI,TESTA,27/08/2024,31/08/2024,OK,OK,
MX-CMX,COYOACAN,172.17.43.217,COYDE-P06,115,100,100,SI,115,100,100,SI,TESTA,27/08/2024,01/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.209,HGODE-P02,105,95,100,SI,105,95,100,SI,TESTA,04/09/2024,02/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.210,HGODE-P01,108,94,100,SI,108,94,100,SI,TESTA,04/09/2024,03/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.213,HGODE-P03,105,93,100,SI,105,93,100,SI,TESTB,04/09/2024,04/09/2024,OK,OK,
MX-HID,HIDALGO,172.17.27.214,HGODE-P04,100,100,100,SI,100,100,100,SI,TESTB,04/09/2024,05/09/2024,OK,OK,
MX-CMX,ZONA NORTE TEPEYAC,172.17.35.235,PTYDE-P01,82,102,100,SI,82,102,100,SI,TESTB,18/09/2024,06/09/2024,OK,OK,
MX-CMX,ZONA NORTE TEPEYAC,172.17.35.236,PTYDE-P02,110,100,100,SI,110,100,100,SI,TESTB,18/09/2024,07/09/2024,OK,OK,
MX-CMX,ZONA NORTE TEPEYAC,172.17.35.237,PTYDE-P03,110,93,100,NO,110,93,100,NO,TESTB,18/09/2024,08/09/2024,OK,OK,
MX-CMX,ZONA PONIENTE AO CUAJIMALPA,172.17.46.236,CJMDE-P01,105,100,100,SI,105,100,100,SI,TESTB,20/09/2024,09/09/2024,NOK,NOK,
MX-CMX,ZONA PONIENTE AO CUAJIMALPA,172.17.46.216,CJMDE-P02,105,100,100,SI,105,100,100,SI,TESTB,20/09/2024,10/09/2024,NOK,NOK,
MX-CMX,ZONA PONIENTE AO CUAJIMALPA,172.17.46.234,CJMDE-P03,105,100,100,SI,105,100,100,SI,TESTB,20/09/2024,11/09/2024,NOK,NOK,
MX-CMX,MH1,172.17.37.211,MHIDE-D01,111,93,100,SI,111,93,100,SI,TESTB,25/09/2024,12/09/2024,NOK,NOK,
MX-CMX,MH1,172.17.37.205,MHIDE–P02,102,99,100,SI,102,99,100,SI,TESTA,25/09/2024,13/09/2024,NOK,NOK,
MX-CMX,MH2,172.17.49.213,MH2DE-P01,96,100,100,SI,96,100,100,SI,TESTA,27/09/2024,14/09/2024,NOK,NOK,
MX-CMX,AEROPUERTO T2 CDMX,172.17.36.207,ITCDE-P01,100,100,100,SI,100,100,100,SI,TESTA,09/10/2024,15/09/2024,OK,OK,
